Unit,Chapter,Question,LeetCode,YT,Default Note,Difficulty
Arrays & Pointers,Two Pointers,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,,,Medium
Arrays & Pointers,Two Pointers,Container With Most Water,https://leetcode.com/problems/container-with-most-water,,,Medium
Arrays & Pointers,Two Pointers,3Sum,https://leetcode.com/problems/3Sum,,,Medium
Arrays & Pointers,Two Pointers,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,,,Hard
Arrays & Pointers,Prefix Sum,Range Sum Query - Immutable,https://leetcode.com/problems/range-sum-query-immutable,,,Easy
Arrays & Pointers,Prefix Sum,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k,,,Medium
Arrays & Pointers,Prefix Sum,Subarray Sums Divisible by K,https://leetcode.com/problems/subarray-sums-divisible-by-k,,,Medium
Arrays & Pointers,Prefix Sum,Continuous Subarray Sum,https://leetcode.com/problems/continuous-subarray-sum,,,Medium
Arrays & Pointers,Prefix Sum,Contiguous Array,https://leetcode.com/problems/contiguous-array,,,Medium
Sliding Window,Fixed Size,Maximum Average Subarray I,https://leetcode.com/problems/maximum-average-subarray-i,,,Easy
Sliding Window,Fixed Size,Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string,,,Medium
Sliding Window,Fixed Size,Permutation in String,https://leetcode.com/problems/permutation-in-string,,,Medium
Sliding Window,Fixed Size,Maximum Sum of Distinct Subarrays With Length K,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k,,,Medium
Sliding Window,Fixed Size,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words,,,Hard
Sliding Window,Dynamic Size,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,,,Medium
Sliding Window,Dynamic Size,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement,,,Medium
Sliding Window,Dynamic Size,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum,,,Medium
Sliding Window,Dynamic Size,Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii,,,Medium
Sliding Window,Dynamic Size,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring,,,Hard
Arrays & Pointers,Kadane's Algorithm,Maximum Subarray,https://leetcode.com/problems/maximum-subarray,,,Medium
Arrays & Pointers,Kadane's Algorithm,Maximum Sum Circular Subarray,https://leetcode.com/problems/maximum-sum-circular-subarray,,,Medium
Arrays & Pointers,Kadane's Algorithm,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray,,,Medium
Arrays & Pointers,Kadane's Algorithm,Best Sightseeing Pair,https://leetcode.com/problems/best-sightseeing-pair,,,Medium
Arrays & Pointers,Matrix (2D Array),Spiral Matrix,https://leetcode.com/problems/spiral-matrix,,,Medium
Arrays & Pointers,Matrix (2D Array),Rotate Image,https://leetcode.com/problems/rotate-image,,,Medium
Arrays & Pointers,Matrix (2D Array),Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes,,,Medium
Arrays & Pointers,Matrix (2D Array),Valid Sudoku,https://leetcode.com/problems/valid-sudoku,,,Medium
Arrays & Pointers,Matrix (2D Array),Game of Life,https://leetcode.com/problems/game-of-life,,,Medium
Linked List,Two Pointers & Cycles,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists,,,Easy
Linked List,Design & Copy,Design Linked List,https://leetcode.com/problems/design-linked-list,,,Medium
Linked List,Two Pointers & Cycles,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list,,,Medium
Linked List,Core & Structure,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,,,Medium
Linked List,Reversal & Reordering,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs,,,Medium
Linked List,Design & Copy,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer,,,Medium
Linked List,Core & Structure,Partition List,https://leetcode.com/problems/partition-list,,,Medium
Linked List,Core & Structure,Rotate List,https://leetcode.com/problems/rotate-list,,,Medium
Linked List,Core & Structure,Add Two Numbers,https://leetcode.com/problems/add-two-numbers,,,Medium
Linked List,Design & Copy,Flatten a Multilevel Doubly Linked List,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,,,Medium
Linked List,Two Pointers & Cycles,Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list,,,Easy
Linked List,Reversal & Reordering,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list,,,Easy
Linked List,Reversal & Reordering,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii,,,Medium
Linked List,Reversal & Reordering,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group,,,Hard
Linked List,Two Pointers & Cycles,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list,,,Easy
Linked List,Two Pointers & Cycles,Happy Number,https://leetcode.com/problems/happy-number,,,Easy
Linked List,Two Pointers & Cycles,Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii,,,Medium
Stacks & Queues,Stacks,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,,,Easy
Stacks & Queues,Stacks,Remove All Adjacent Duplicates In String,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,,,Easy
Stacks & Queues,Stacks,Min Stack,https://leetcode.com/problems/min-stack,,,Medium
Stacks & Queues,Stacks,Remove Duplicate Letters,https://leetcode.com/problems/remove-duplicate-letters,,,Medium
Stacks & Queues,Stacks,Removing Stars From a String,https://leetcode.com/problems/removing-stars-from-a-string,,,Medium
Stacks & Queues,Stacks,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation,,,Medium
Stacks & Queues,Stacks,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii,,,Medium
Stacks & Queues,Stacks,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses,,,Hard
Arrays & Pointers,Monotonic Stack,Next Greater Element I,https://leetcode.com/problems/next-greater-element-i,,,Easy
Arrays & Pointers,Monotonic Stack,Daily Temperatures,https://leetcode.com/problems/daily-temperatures,,,Medium
Arrays & Pointers,Monotonic Stack,Online Stock Span,https://leetcode.com/problems/online-stock-span,,,Medium
Arrays & Pointers,Monotonic Stack,132 Pattern,https://leetcode.com/problems/132-pattern,,,Medium
Arrays & Pointers,Monotonic Stack,Number of Visible People in a Queue,https://leetcode.com/problems/number-of-visible-people-in-a-queue,,,Hard
Arrays & Pointers,Monotonic Stack,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram,,,Hard
Stacks & Queues,Queues,Number of Recent Calls,https://leetcode.com/problems/number-of-recent-calls,,,Easy
Stacks & Queues,Queues,Time Needed to Buy Tickets,https://leetcode.com/problems/time-needed-to-buy-tickets,,,Easy
Stacks & Queues,Queues,Reveal Cards In Increasing Order,https://leetcode.com/problems/reveal-cards-in-increasing-order,,,Medium
Arrays & Pointers,Monotonic Queue,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,,,Medium
Arrays & Pointers,Monotonic Queue,Jump Game VI,https://leetcode.com/problems/jump-game-vi,,,Medium
Arrays & Pointers,Monotonic Queue,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum,,,Hard
Arrays & Pointers,Monotonic Queue,Max Value of Equation,https://leetcode.com/problems/max-value-of-equation,,,Hard
Sorting & Searching,Bucket Sort,Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency,,,Medium
Sorting & Searching,Bucket Sort,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words,,,Medium
Sorting & Searching,Bucket Sort,Maximum Gap,https://leetcode.com/problems/maximum-gap,,,Medium
Recursion & Backtracking,Recursion,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists,,,Easy
Recursion & Backtracking,Recursion,"Pow(x, n)",https://leetcode.com/problems/powx-n,,,Medium
Recursion & Backtracking,Recursion,Decode String,https://leetcode.com/problems/decode-string,,,Medium
Sorting & Searching,Divide and Conquer,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,,,Medium
Sorting & Searching,Divide and Conquer,Construct Quad Tree,https://leetcode.com/problems/construct-quad-tree,,,Medium
Sorting & Searching,Divide and Conquer,Maximum Binary Tree,https://leetcode.com/problems/maximum-binary-tree,,,Medium
Sorting & Searching,Merge Sort,Sort List,https://leetcode.com/problems/sort-list,,,Medium
Sorting & Searching,Merge Sort,Reverse Pairs,https://leetcode.com/problems/reverse-pairs,,,Hard
Sorting & Searching,QuickSort / QuickSelect,Sort Colors,https://leetcode.com/problems/sort-colors,,,Medium
Sorting & Searching,QuickSort / QuickSelect,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array,,,Medium
Sorting & Searching,Binary Search,Search Insert Position,https://leetcode.com/problems/search-insert-position,,,Easy
Sorting & Searching,Binary Search,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,,,Medium
Sorting & Searching,Binary Search,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array,,,Medium
Sorting & Searching,Binary Search,Find Peak Element,https://leetcode.com/problems/find-peak-element,,,Medium
Sorting & Searching,Binary Search,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight,,,Medium
Sorting & Searching,Binary Search,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas,,,Medium
Sorting & Searching,Binary Search,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,,,Medium
Sorting & Searching,Binary Search,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix,,,Medium
Sorting & Searching,Binary Search,Find in Mountain Array,https://leetcode.com/problems/find-in-mountain-array,,,Hard
Sorting & Searching,Binary Search,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays,,,Hard
Recursion & Backtracking,Backtracking,Generate Parentheses,https://leetcode.com/problems/generate-parentheses,,,Medium
Recursion & Backtracking,Backtracking,Permutations,https://leetcode.com/problems/permutations,,,Medium
Recursion & Backtracking,Backtracking,Subsets,https://leetcode.com/problems/subsets,,,Medium
Recursion & Backtracking,Backtracking,Combination Sum,https://leetcode.com/problems/combination-sum,,,Medium
Recursion & Backtracking,Backtracking,Combination Sum II,https://leetcode.com/problems/combination-sum-ii,,,Medium
Recursion & Backtracking,Backtracking,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number,,,Medium
Recursion & Backtracking,Backtracking,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning,,,Medium
Recursion & Backtracking,Backtracking,N-Queens,https://leetcode.com/problems/n-queens,,,Hard
Trees,Traversal - Level Order,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal,,,Medium
Trees,Traversal - Level Order,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view,,,Medium
Trees,Traversal - Level Order,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,,,Medium
Trees,Traversal - Level Order,Populating Next Right Pointers in Each Node II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,,,Medium
Trees,Traversal - Level Order,Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree,,,Medium
Trees,Traversal - Pre Order,Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal,,,Easy
Trees,Traversal - Pre Order,Same Tree,https://leetcode.com/problems/same-tree,,,Easy
Trees,Traversal - Pre Order,Symmetric Tree,https://leetcode.com/problems/symmetric-tree,,,Easy
Trees,Traversal - Pre Order,Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths,,,Easy
Trees,Traversal - Pre Order,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,,,Easy
Trees,Traversal - Pre Order,Count Complete Tree Nodes,https://leetcode.com/problems/count-complete-tree-nodes,,,Easy
Trees,Traversal - Pre Order,Path Sum III,https://leetcode.com/problems/path-sum-iii,,,Medium
Trees,Traversal - Pre Order,Maximum Difference Between Node and Ancestor,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor,,,Medium
Trees,Traversal - Pre Order,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,,,Medium
Trees,Traversal - Pre Order,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,,,Medium
Trees,Traversal - Pre Order,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,,,Hard
Trees,Traversal - In Order,Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal,,,Easy
Trees,Traversal - In Order,Minimum Distance Between BST Nodes,https://leetcode.com/problems/minimum-distance-between-bst-nodes,,,Easy
Trees,Traversal - In Order,Minimum Absolute Difference in BST,https://leetcode.com/problems/minimum-absolute-difference-in-bst,,,Easy
Trees,Traversal - In Order,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree,,,Medium
Trees,Traversal - In Order,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst,,,Medium
Trees,Traversal - In Order,Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator,,,Medium
Trees,Traversal - Post-Order,Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal,,,Easy
Trees,Traversal - Post-Order,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree,,,Easy
Trees,Traversal - Post-Order,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree,,,Easy
Trees,Traversal - Post-Order,Delete Nodes And Return Forest,https://leetcode.com/problems/delete-nodes-and-return-forest,,,Medium
Trees,Traversal - Post-Order,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,,,Medium
Trees,Traversal - Post-Order,Find Duplicate Subtrees,https://leetcode.com/problems/find-duplicate-subtrees,,,Medium
Trees,Traversal - Post-Order,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,,,Medium
Trees,Traversal - Post-Order,Distribute Coins in Binary Tree,https://leetcode.com/problems/distribute-coins-in-binary-tree,,,Medium
Trees,Traversal - Post-Order,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum,,,Hard
Trees,BST / Ordered Set,Trim a Binary Search Tree,https://leetcode.com/problems/trim-a-binary-search-tree,,,Medium
Trees,BST / Ordered Set,My Calendar I,https://leetcode.com/problems/my-calendar-i,,,Medium
Trees,BST / Ordered Set,My Calendar II,https://leetcode.com/problems/my-calendar-ii,,,Medium
Trees,BST / Ordered Set,Stock Price Fluctuation,https://leetcode.com/problems/stock-price-fluctuation,,,Medium
Strings,Strings,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree,,,Medium
Strings,Strings,Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure,,,Medium
Strings,Strings,Search Suggestions System,https://leetcode.com/problems/search-suggestions-system,,,Medium
Strings,Strings,Longest Word in Dictionary,https://leetcode.com/problems/longest-word-in-dictionary,,,Medium
Strings,Strings,Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array,,,Medium
Strings,Strings,Word Search II,https://leetcode.com/problems/word-search-ii,,,Hard
Heaps & Top K,Heaps,Furthest Building You Can Reach,https://leetcode.com/problems/furthest-building-you-can-reach,,,Medium
Heaps & Top K,Heaps,Single-Threaded CPU,https://leetcode.com/problems/single-threaded-cpu,,,Medium
Heaps & Top K,Heaps,Process Tasks Using Servers,https://leetcode.com/problems/process-tasks-using-servers,,,Medium
Heaps & Top K,Two Heaps,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream,,,Hard
Heaps & Top K,Two Heaps,IPO,https://leetcode.com/problems/ipo,,,Hard
Heaps & Top K,Two Heaps,Sliding Window Median,https://leetcode.com/problems/sliding-window-median,,,Hard
Heaps & Top K,Top K Elements,Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream,,,Easy
Heaps & Top K,Top K Elements,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements,,,Medium
Heaps & Top K,Top K Elements,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin,,,Medium
Greedy & Intervals,Intervals,Merge Intervals,https://leetcode.com/problems/merge-intervals,,,Medium
Greedy & Intervals,Intervals,Insert Interval,https://leetcode.com/problems/insert-interval,,,Medium
Greedy & Intervals,Intervals,Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,,,Medium
Greedy & Intervals,Intervals,Maximum Number of Events That Can Be Attended,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,,,Medium
Greedy & Intervals,Intervals,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals,,,Medium
Heaps & Top K,K-Way Merge,Find K Pairs with Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,,,Medium
Heaps & Top K,K-Way Merge,Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,,,Medium
Heaps & Top K,K-Way Merge,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists,,,Hard
Heaps & Top K,K-Way Merge,Smallest Range Covering Elements from K Lists,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,,,Hard
Data Structures,Data Structure Design,Design Browser History,https://leetcode.com/problems/design-browser-history,,,Medium
Data Structures,Data Structure Design,Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store,,,Medium
Data Structures,Data Structure Design,Snapshot Array,https://leetcode.com/problems/snapshot-array,,,Medium
Data Structures,Data Structure Design,Design Twitter,https://leetcode.com/problems/design-twitter,,,Medium
Data Structures,Data Structure Design,LRU Cache,https://leetcode.com/problems/lru-cache,,,Medium
Data Structures,Data Structure Design,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1,,,Medium
Data Structures,Data Structure Design,Design a Food Rating System,https://leetcode.com/problems/design-a-food-rating-system,,,Medium
Data Structures,Data Structure Design,Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack,,,Hard
Greedy & Intervals,Greedy,Jump Game II,https://leetcode.com/problems/jump-game-ii,,,Medium
Greedy & Intervals,Greedy,Minimum Add to Make Parentheses Valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,,,Medium
Greedy & Intervals,Greedy,Gas Station,https://leetcode.com/problems/gas-station,,,Medium
Greedy & Intervals,Greedy,Task Scheduler,https://leetcode.com/problems/task-scheduler,,,Medium
Greedy & Intervals,Greedy,Minimum Cost to Hire K Workers,https://leetcode.com/problems/minimum-cost-to-hire-k-workers,,,Hard
Greedy & Intervals,Greedy,Candy,https://leetcode.com/problems/candy,,,Hard
Greedy & Intervals,Greedy,Minimum Number of Refueling Stops,https://leetcode.com/problems/minimum-number-of-refueling-stops,,,Hard
Graphs,Depth First Search (DFS),Number of Islands,https://leetcode.com/problems/number-of-islands,,,Medium
Graphs,Depth First Search (DFS),Time Needed to Inform All Employees,https://leetcode.com/problems/time-needed-to-inform-all-employees,,,Medium
Graphs,Depth First Search (DFS),All Paths From Source to Target,https://leetcode.com/problems/all-paths-from-source-to-target,,,Medium
Graphs,Depth First Search (DFS),Clone Graph,https://leetcode.com/problems/clone-graph,,,Medium
Graphs,Depth First Search (DFS),Is Graph Bipartite?,https://leetcode.com/problems/is-graph-bipartite,,,Medium
Graphs,Depth First Search (DFS),All Nodes Distance K in Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,,,Medium
Graphs,Depth First Search (DFS),Employee Importance,https://leetcode.com/problems/employee-importance,,,Medium
Graphs,Depth First Search (DFS),Surrounded Regions,https://leetcode.com/problems/surrounded-regions,,,Medium
Graphs,Depth First Search (DFS),Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow,,,Medium
Graphs,Depth First Search (DFS),Making A Large Island,https://leetcode.com/problems/making-a-large-island,,,Hard
Graphs,Breadth First Search (BFS),Rotting Oranges,https://leetcode.com/problems/rotting-oranges,,,Medium
Graphs,Breadth First Search (BFS),01 Matrix,https://leetcode.com/problems/01-matrix,,,Medium
Graphs,Breadth First Search (BFS),Open the Lock,https://leetcode.com/problems/open-the-lock,,,Medium
Graphs,Breadth First Search (BFS),Shortest Path in a Grid with Obstacles Elimination,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,,,Hard
Graphs,Breadth First Search (BFS),Bus Routes,https://leetcode.com/problems/bus-routes,,,Hard
Graphs,Breadth First Search (BFS),Word Ladder,https://leetcode.com/problems/word-ladder,,,Hard
Graphs,Topological Sort,Course Schedule II,https://leetcode.com/problems/course-schedule-ii,,,Medium
Graphs,Topological Sort,Find Eventual Safe States,https://leetcode.com/problems/find-eventual-safe-states,,,Medium
Graphs,Topological Sort,Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees,,,Medium
Graphs,Topological Sort,Sort Items by Groups Respecting Dependencies,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies,,,Hard
Graphs,Union Find,Number of Provinces,https://leetcode.com/problems/number-of-provinces,,,Medium
Graphs,Union Find,Redundant Connection,https://leetcode.com/problems/redundant-connection,,,Medium
Graphs,Union Find,Accounts Merge,https://leetcode.com/problems/accounts-merge,,,Medium
Graphs,Union Find,Minimize Malware Spread,https://leetcode.com/problems/minimize-malware-spread,,,Hard
Graphs,Minimum Spanning Tree,Min Cost to Connect All Points,https://leetcode.com/problems/min-cost-to-connect-all-points,,,Medium
Graphs,Shortest Path,Network Delay Time,https://leetcode.com/problems/network-delay-time,,,Medium
Graphs,Shortest Path,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops,,,Medium
Graphs,Shortest Path,Path with Maximum Probability,https://leetcode.com/problems/path-with-maximum-probability,,,Medium
Graphs,Shortest Path,Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort,,,Medium
Graphs,Shortest Path,Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water,,,Hard
Graphs,Eulerian Circuit,Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary,,,Hard
Graphs,Eulerian Circuit,Cracking the Safe,https://leetcode.com/problems/cracking-the-safe,,,Hard
Dynamic Programming,1-D DP,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,,,Easy
Dynamic Programming,1-D DP,Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs,,,Easy
Dynamic Programming,1-D DP,House Robber,https://leetcode.com/problems/house-robber,,,Medium
Dynamic Programming,1-D DP,House Robber II,https://leetcode.com/problems/house-robber-ii,,,Medium
Dynamic Programming,Knapsack DP,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum,,,Medium
Dynamic Programming,Knapsack DP,Target Sum,https://leetcode.com/problems/target-sum,,,Medium
Dynamic Programming,Knapsack DP,Last Stone Weight II,https://leetcode.com/problems/last-stone-weight-ii,,,Medium
Dynamic Programming,Unbounded Knapsack DP,Coin Change,https://leetcode.com/problems/coin-change,,,Medium
Dynamic Programming,Unbounded Knapsack DP,Coin Change II,https://leetcode.com/problems/coin-change-ii,,,Medium
Dynamic Programming,Unbounded Knapsack DP,Perfect Squares,https://leetcode.com/problems/perfect-squares,,,Medium
