Unit,Chapter,Question,LeetCode,YT,Default Note
Bit Manipulation,Bit Manipulation,Single Number III,https://leetcode.com/problems/single-number-iii,,
Bit Manipulation,Bit Manipulation,Sum of Two Integers,https://leetcode.com/problems/sum-of-two-integers,,
Hashing,Hash Tables,Design HashMap,https://leetcode.com/problems/design-hashmap,,
Hashing,Hash Tables,Maximum Number of Balloons,https://leetcode.com/problems/maximum-number-of-balloons,,
Hashing,Hash Tables,Number of Good Pairs,https://leetcode.com/problems/number-of-good-pairs,,
Hashing,Hash Tables,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings,,
Hashing,Hash Tables,Ransom Note,https://leetcode.com/problems/ransom-note,,
Hashing,Hash Tables,Contains Duplicate II,https://leetcode.com/problems/contains-duplicate-ii,,
Hashing,Hash Tables,Group Anagrams,https://leetcode.com/problems/group-anagrams,,
Hashing,Hash Tables,Encode and Decode TinyURL,https://leetcode.com/problems/encode-and-decode-tinyurl,,
Hashing,Hash Tables,Reorganize String,https://leetcode.com/problems/reorganize-string,,
Hashing,Hash Tables,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence,,
Hashing,Hash Tables,Split Array into Consecutive Subsequences,https://leetcode.com/problems/split-array-into-consecutive-subsequences,,
Hashing,Hash Tables,Number of Matching Subsequences,https://leetcode.com/problems/number-of-matching-subsequences,,
Hashing,Hash Tables,Number of Good Ways to Split a String,https://leetcode.com/problems/number-of-good-ways-to-split-a-string,,
Arrays & Pointers,Two Pointers,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array,,
Arrays & Pointers,Two Pointers,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,,
Arrays & Pointers,Two Pointers,Container With Most Water,https://leetcode.com/problems/container-with-most-water,,
Arrays & Pointers,Two Pointers,3Sum,https://leetcode.com/problems/3Sum,,
Arrays & Pointers,Two Pointers,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,,
Arrays & Pointers,Prefix Sum,Range Sum Query - Immutable,https://leetcode.com/problems/range-sum-query-immutable,,
Arrays & Pointers,Prefix Sum,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k,,
Arrays & Pointers,Prefix Sum,Subarray Sums Divisible by K,https://leetcode.com/problems/subarray-sums-divisible-by-k,,
Arrays & Pointers,Prefix Sum,Continuous Subarray Sum,https://leetcode.com/problems/continuous-subarray-sum,,
Arrays & Pointers,Prefix Sum,Contiguous Array,https://leetcode.com/problems/contiguous-array,,
Sliding Window,Fixed Size,Maximum Average Subarray I,https://leetcode.com/problems/maximum-average-subarray-i,,
Sliding Window,Fixed Size,Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string,,
Sliding Window,Fixed Size,Permutation in String,https://leetcode.com/problems/permutation-in-string,,
Sliding Window,Fixed Size,Maximum Sum of Distinct Subarrays With Length K,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k,,
Sliding Window,Fixed Size,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words,,
Sliding Window,Dynamic Size,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,,
Sliding Window,Dynamic Size,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement,,
Sliding Window,Dynamic Size,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum,,
Sliding Window,Dynamic Size,Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii,,
Sliding Window,Dynamic Size,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring,,
Arrays & Pointers,Kadane's Algorithm,Maximum Subarray,https://leetcode.com/problems/maximum-subarray,,
Arrays & Pointers,Kadane's Algorithm,Maximum Sum Circular Subarray,https://leetcode.com/problems/maximum-sum-circular-subarray,,
Arrays & Pointers,Kadane's Algorithm,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray,,
Arrays & Pointers,Kadane's Algorithm,Best Sightseeing Pair,https://leetcode.com/problems/best-sightseeing-pair,,
Arrays & Pointers,Matrix (2D Array),Spiral Matrix,https://leetcode.com/problems/spiral-matrix,,
Arrays & Pointers,Matrix (2D Array),Rotate Image,https://leetcode.com/problems/rotate-image,,
Arrays & Pointers,Matrix (2D Array),Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes,,
Arrays & Pointers,Matrix (2D Array),Valid Sudoku,https://leetcode.com/problems/valid-sudoku,,
Arrays & Pointers,Matrix (2D Array),Game of Life,https://leetcode.com/problems/game-of-life,,
Linked List,Two Pointers & Cycles,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists,,
Linked List,Design & Copy,Design Linked List,https://leetcode.com/problems/design-linked-list,,
Linked List,Two Pointers & Cycles,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list,,
Linked List,Core & Structure,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,,
Linked List,Reversal & Reordering,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs,,
Linked List,Design & Copy,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer,,
Linked List,Core & Structure,Partition List,https://leetcode.com/problems/partition-list,,
Linked List,Core & Structure,Rotate List,https://leetcode.com/problems/rotate-list,,
Linked List,Core & Structure,Add Two Numbers,https://leetcode.com/problems/add-two-numbers,,
Linked List,Design & Copy,Flatten a Multilevel Doubly Linked List,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,,
Linked List,Two Pointers & Cycles,Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list,,
Linked List,Reversal & Reordering,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list,,
Linked List,Reversal & Reordering,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii,,
Linked List,Reversal & Reordering,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group,,
Linked List,Two Pointers & Cycles,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list,,
Linked List,Two Pointers & Cycles,Happy Number,https://leetcode.com/problems/happy-number,,
Linked List,Two Pointers & Cycles,Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii,,
Stacks & Queues,Stacks,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,,
Stacks & Queues,Stacks,Remove All Adjacent Duplicates In String,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,,
Stacks & Queues,Stacks,Min Stack,https://leetcode.com/problems/min-stack,,
Stacks & Queues,Stacks,Remove Duplicate Letters,https://leetcode.com/problems/remove-duplicate-letters,,
Stacks & Queues,Stacks,Removing Stars From a String,https://leetcode.com/problems/removing-stars-from-a-string,,
Stacks & Queues,Stacks,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation,,
Stacks & Queues,Stacks,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii,,
Stacks & Queues,Stacks,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses,,
Arrays & Pointers,Monotonic Stack,Next Greater Element I,https://leetcode.com/problems/next-greater-element-i,,
Arrays & Pointers,Monotonic Stack,Daily Temperatures,https://leetcode.com/problems/daily-temperatures,,
Arrays & Pointers,Monotonic Stack,Online Stock Span,https://leetcode.com/problems/online-stock-span,,
Arrays & Pointers,Monotonic Stack,132 Pattern,https://leetcode.com/problems/132-pattern,,
Arrays & Pointers,Monotonic Stack,Number of Visible People in a Queue,https://leetcode.com/problems/number-of-visible-people-in-a-queue,,
Arrays & Pointers,Monotonic Stack,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram,,
Stacks & Queues,Queues,Number of Recent Calls,https://leetcode.com/problems/number-of-recent-calls,,
Stacks & Queues,Queues,Time Needed to Buy Tickets,https://leetcode.com/problems/time-needed-to-buy-tickets,,
Stacks & Queues,Queues,Reveal Cards In Increasing Order,https://leetcode.com/problems/reveal-cards-in-increasing-order,,
Arrays & Pointers,Monotonic Queue,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,,
Arrays & Pointers,Monotonic Queue,Jump Game VI,https://leetcode.com/problems/jump-game-vi,,
Arrays & Pointers,Monotonic Queue,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum,,
Arrays & Pointers,Monotonic Queue,Max Value of Equation,https://leetcode.com/problems/max-value-of-equation,,
Sorting & Searching,Bucket Sort,Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency,,
Sorting & Searching,Bucket Sort,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words,,
Sorting & Searching,Bucket Sort,Maximum Gap,https://leetcode.com/problems/maximum-gap,,
Recursion & Backtracking,Recursion,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists,,
Recursion & Backtracking,Recursion,"Pow(x, n)",https://leetcode.com/problems/powx-n,,
Recursion & Backtracking,Recursion,Decode String,https://leetcode.com/problems/decode-string,,
Sorting & Searching,Divide and Conquer,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,,
Sorting & Searching,Divide and Conquer,Construct Quad Tree,https://leetcode.com/problems/construct-quad-tree,,
Sorting & Searching,Divide and Conquer,Maximum Binary Tree,https://leetcode.com/problems/maximum-binary-tree,,
Sorting & Searching,Merge Sort,Sort List,https://leetcode.com/problems/sort-list,,
Sorting & Searching,Merge Sort,Reverse Pairs,https://leetcode.com/problems/reverse-pairs,,
Sorting & Searching,QuickSort / QuickSelect,Sort Colors,https://leetcode.com/problems/sort-colors,,
Sorting & Searching,QuickSort / QuickSelect,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array,,
Sorting & Searching,Binary Search,Search Insert Position,https://leetcode.com/problems/search-insert-position,,
Sorting & Searching,Binary Search,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,,
Sorting & Searching,Binary Search,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array,,
Sorting & Searching,Binary Search,Find Peak Element,https://leetcode.com/problems/find-peak-element,,
Sorting & Searching,Binary Search,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight,,
Sorting & Searching,Binary Search,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas,,
Sorting & Searching,Binary Search,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,,
Sorting & Searching,Binary Search,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix,,
Sorting & Searching,Binary Search,Find in Mountain Array,https://leetcode.com/problems/find-in-mountain-array,,
Sorting & Searching,Binary Search,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays,,
Recursion & Backtracking,Backtracking,Generate Parentheses,https://leetcode.com/problems/generate-parentheses,,
Recursion & Backtracking,Backtracking,Permutations,https://leetcode.com/problems/permutations,,
Recursion & Backtracking,Backtracking,Subsets,https://leetcode.com/problems/subsets,,
Recursion & Backtracking,Backtracking,Combination Sum,https://leetcode.com/problems/combination-sum,,
Recursion & Backtracking,Backtracking,Combination Sum II,https://leetcode.com/problems/combination-sum-ii,,
Recursion & Backtracking,Backtracking,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number,,
Recursion & Backtracking,Backtracking,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning,,
Recursion & Backtracking,Backtracking,N-Queens,https://leetcode.com/problems/n-queens,,
Trees,Traversal - Level Order,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal,,
Trees,Traversal - Level Order,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view,,
Trees,Traversal - Level Order,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,,
Trees,Traversal - Level Order,Populating Next Right Pointers in Each Node II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,,
Trees,Traversal - Level Order,Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree,,
Trees,Traversal - Pre Order,Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal,,
Trees,Traversal - Pre Order,Same Tree,https://leetcode.com/problems/same-tree,,
Trees,Traversal - Pre Order,Symmetric Tree,https://leetcode.com/problems/symmetric-tree,,
Trees,Traversal - Pre Order,Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths,,
Trees,Traversal - Pre Order,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,,
Trees,Traversal - Pre Order,Count Complete Tree Nodes,https://leetcode.com/problems/count-complete-tree-nodes,,
Trees,Traversal - Pre Order,Path Sum III,https://leetcode.com/problems/path-sum-iii,,
Trees,Traversal - Pre Order,Maximum Difference Between Node and Ancestor,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor,,
Trees,Traversal - Pre Order,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,,
Trees,Traversal - Pre Order,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,,
Trees,Traversal - Pre Order,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,,
Trees,Traversal - In Order,Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal,,
Trees,Traversal - In Order,Minimum Distance Between BST Nodes,https://leetcode.com/problems/minimum-distance-between-bst-nodes,,
Trees,Traversal - In Order,Minimum Absolute Difference in BST,https://leetcode.com/problems/minimum-absolute-difference-in-bst,,
Trees,Traversal - In Order,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree,,
Trees,Traversal - In Order,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst,,
Trees,Traversal - In Order,Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator,,
Trees,Traversal - Post-Order,Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal,,
Trees,Traversal - Post-Order,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree,,
Trees,Traversal - Post-Order,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree,,
Trees,Traversal - Post-Order,Delete Nodes And Return Forest,https://leetcode.com/problems/delete-nodes-and-return-forest,,
Trees,Traversal - Post-Order,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,,
Trees,Traversal - Post-Order,Find Duplicate Subtrees,https://leetcode.com/problems/find-duplicate-subtrees,,
Trees,Traversal - Post-Order,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,,
Trees,Traversal - Post-Order,Distribute Coins in Binary Tree,https://leetcode.com/problems/distribute-coins-in-binary-tree,,
Trees,Traversal - Post-Order,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum,,
Trees,BST / Ordered Set,Trim a Binary Search Tree,https://leetcode.com/problems/trim-a-binary-search-tree,,
Trees,BST / Ordered Set,My Calendar I,https://leetcode.com/problems/my-calendar-i,,
Trees,BST / Ordered Set,My Calendar II,https://leetcode.com/problems/my-calendar-ii,,
Trees,BST / Ordered Set,Stock Price Fluctuation,https://leetcode.com/problems/stock-price-fluctuation,,
Strings,Strings,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree,,
Strings,Strings,Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure,,
Strings,Strings,Search Suggestions System,https://leetcode.com/problems/search-suggestions-system,,
Strings,Strings,Longest Word in Dictionary,https://leetcode.com/problems/longest-word-in-dictionary,,
Strings,Strings,Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array,,
Strings,Strings,Word Search II,https://leetcode.com/problems/word-search-ii,,
Heaps & Top K,Heaps,Furthest Building You Can Reach,https://leetcode.com/problems/furthest-building-you-can-reach,,
Heaps & Top K,Heaps,Single-Threaded CPU,https://leetcode.com/problems/single-threaded-cpu,,
Heaps & Top K,Heaps,Process Tasks Using Servers,https://leetcode.com/problems/process-tasks-using-servers,,
Heaps & Top K,Two Heaps,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream,,
Heaps & Top K,Two Heaps,IPO,https://leetcode.com/problems/ipo,,
Heaps & Top K,Two Heaps,Sliding Window Median,https://leetcode.com/problems/sliding-window-median,,
Heaps & Top K,Top K Elements,Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream,,
Heaps & Top K,Top K Elements,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements,,
Heaps & Top K,Top K Elements,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin,,
Greedy & Intervals,Intervals,Merge Intervals,https://leetcode.com/problems/merge-intervals,,
Greedy & Intervals,Intervals,Insert Interval,https://leetcode.com/problems/insert-interval,,
Greedy & Intervals,Intervals,Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,,
Greedy & Intervals,Intervals,Maximum Number of Events That Can Be Attended,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,,
Greedy & Intervals,Intervals,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals,,
Heaps & Top K,K-Way Merge,Find K Pairs with Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums,,
Heaps & Top K,K-Way Merge,Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,,
Heaps & Top K,K-Way Merge,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists,,
Heaps & Top K,K-Way Merge,Smallest Range Covering Elements from K Lists,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,,
Data Structures,Data Structure Design,Design Browser History,https://leetcode.com/problems/design-browser-history,,
Data Structures,Data Structure Design,Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store,,
Data Structures,Data Structure Design,Snapshot Array,https://leetcode.com/problems/snapshot-array,,
Data Structures,Data Structure Design,Design Twitter,https://leetcode.com/problems/design-twitter,,
Data Structures,Data Structure Design,LRU Cache,https://leetcode.com/problems/lru-cache,,
Data Structures,Data Structure Design,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1,,
Data Structures,Data Structure Design,Design a Food Rating System,https://leetcode.com/problems/design-a-food-rating-system,,
Data Structures,Data Structure Design,Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack,,
Greedy & Intervals,Greedy,Jump Game II,https://leetcode.com/problems/jump-game-ii,,
Greedy & Intervals,Greedy,Minimum Add to Make Parentheses Valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,,
Greedy & Intervals,Greedy,Gas Station,https://leetcode.com/problems/gas-station,,
Greedy & Intervals,Greedy,Task Scheduler,https://leetcode.com/problems/task-scheduler,,
Greedy & Intervals,Greedy,Minimum Cost to Hire K Workers,https://leetcode.com/problems/minimum-cost-to-hire-k-workers,,
Greedy & Intervals,Greedy,Candy,https://leetcode.com/problems/candy,,
Greedy & Intervals,Greedy,Minimum Number of Refueling Stops,https://leetcode.com/problems/minimum-number-of-refueling-stops,,
Graphs,Depth First Search (DFS),Number of Islands,https://leetcode.com/problems/number-of-islands,,
Graphs,Depth First Search (DFS),Time Needed to Inform All Employees,https://leetcode.com/problems/time-needed-to-inform-all-employees,,
Graphs,Depth First Search (DFS),All Paths From Source to Target,https://leetcode.com/problems/all-paths-from-source-to-target,,
Graphs,Depth First Search (DFS),Clone Graph,https://leetcode.com/problems/clone-graph,,
Graphs,Depth First Search (DFS),Is Graph Bipartite?,https://leetcode.com/problems/is-graph-bipartite,,
Graphs,Depth First Search (DFS),All Nodes Distance K in Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,,
Graphs,Depth First Search (DFS),Employee Importance,https://leetcode.com/problems/employee-importance,,
Graphs,Depth First Search (DFS),Surrounded Regions,https://leetcode.com/problems/surrounded-regions,,
Graphs,Depth First Search (DFS),Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow,,
Graphs,Depth First Search (DFS),Making A Large Island,https://leetcode.com/problems/making-a-large-island,,
Graphs,Breadth First Search (BFS),Rotting Oranges,https://leetcode.com/problems/rotting-oranges,,
Graphs,Breadth First Search (BFS),01 Matrix,https://leetcode.com/problems/01-matrix,,
Graphs,Breadth First Search (BFS),Open the Lock,https://leetcode.com/problems/open-the-lock,,
Graphs,Breadth First Search (BFS),Shortest Path in a Grid with Obstacles Elimination,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,,
Graphs,Breadth First Search (BFS),Bus Routes,https://leetcode.com/problems/bus-routes,,
Graphs,Breadth First Search (BFS),Word Ladder,https://leetcode.com/problems/word-ladder,,
Graphs,Topological Sort,Course Schedule II,https://leetcode.com/problems/course-schedule-ii,,
Graphs,Topological Sort,Find Eventual Safe States,https://leetcode.com/problems/find-eventual-safe-states,,
Graphs,Topological Sort,Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees,,
Graphs,Topological Sort,Sort Items by Groups Respecting Dependencies,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies,,
Graphs,Union Find,Number of Provinces,https://leetcode.com/problems/number-of-provinces,,
Graphs,Union Find,Redundant Connection,https://leetcode.com/problems/redundant-connection,,
Graphs,Union Find,Accounts Merge,https://leetcode.com/problems/accounts-merge,,
Graphs,Union Find,Minimize Malware Spread,https://leetcode.com/problems/minimize-malware-spread,,
Graphs,Minimum Spanning Tree,Min Cost to Connect All Points,https://leetcode.com/problems/min-cost-to-connect-all-points,,
Graphs,Shortest Path,Network Delay Time,https://leetcode.com/problems/network-delay-time,,
Graphs,Shortest Path,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops,,
Graphs,Shortest Path,Path with Maximum Probability,https://leetcode.com/problems/path-with-maximum-probability,,
Graphs,Shortest Path,Path With Minimum Effort,https://leetcode.com/problems/path-with-minimum-effort,,
Graphs,Shortest Path,Swim in Rising Water,https://leetcode.com/problems/swim-in-rising-water,,
Graphs,Eulerian Circuit,Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary,,
Graphs,Eulerian Circuit,Cracking the Safe,https://leetcode.com/problems/cracking-the-safe,,
Dynamic Programming,1-D DP,Climbing Stairs,https://leetcode.com/problems/climbing-stairs,,
Dynamic Programming,1-D DP,Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs,,
Dynamic Programming,1-D DP,House Robber,https://leetcode.com/problems/house-robber,,
Dynamic Programming,1-D DP,House Robber II,https://leetcode.com/problems/house-robber-ii,,
Dynamic Programming,Knapsack DP,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum,,
Dynamic Programming,Knapsack DP,Target Sum,https://leetcode.com/problems/target-sum,,
Dynamic Programming,Knapsack DP,Last Stone Weight II,https://leetcode.com/problems/last-stone-weight-ii,,
Dynamic Programming,Unbounded Knapsack DP,Coin Change,https://leetcode.com/problems/coin-change,,
Dynamic Programming,Unbounded Knapsack DP,Coin Change II,https://leetcode.com/problems/coin-change-ii,,
Dynamic Programming,Unbounded Knapsack DP,Perfect Squares,https://leetcode.com/problems/perfect-squares,,
Dynamic Programming,Longest Increasing Subsequence DP,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence,,
Dynamic Programming,Longest Increasing Subsequence DP,Number of Longest Increasing Subsequence,https://leetcode.com/problems/number-of-longest-increasing-subsequence,,
Dynamic Programming,Longest Increasing Subsequence DP,Russian Doll Envelopes,https://leetcode.com/problems/russian-doll-envelopes,,
Dynamic Programming,2D (Grid) DP,Unique Paths II,https://leetcode.com/problems/unique-paths-ii,,
Dynamic Programming,2D (Grid) DP,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum,,
Dynamic Programming,2D (Grid) DP,Triangle,https://leetcode.com/problems/triangle,,
Dynamic Programming,2D (Grid) DP,Count Square Submatrices with All Ones,https://leetcode.com/problems/count-square-submatrices-with-all-ones,,
Dynamic Programming,2D (Grid) DP,Maximum Number of Points with Cost,https://leetcode.com/problems/maximum-number-of-points-with-cost,,
Dynamic Programming,2D (Grid) DP,Burst Balloons,https://leetcode.com/problems/burst-balloons,,
Dynamic Programming,2D (Grid) DP,Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling,,
Dynamic Programming,2D (Grid) DP,Cherry Pickup,https://leetcode.com/problems/cherry-pickup,,
Dynamic Programming,2D (Grid) DP,Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,,
Dynamic Programming,String DP,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence,,
Dynamic Programming,String DP,Edit Distance,https://leetcode.com/problems/edit-distance,,
Dynamic Programming,String DP,Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence,,
Dynamic Programming,String DP,Decode Ways,https://leetcode.com/problems/decode-ways,,
Dynamic Programming,String DP,Word Break,https://leetcode.com/problems/word-break,,
Dynamic Programming,String DP,Interleaving String,https://leetcode.com/problems/interleaving-string,,
Dynamic Programming,String DP,Wildcard Matching,https://leetcode.com/problems/wildcard-matching,,
Dynamic Programming,String DP,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences,,
